category,value,question,answer
COMPOSERS,800,"""The Erl-King"" & ""The Wanderer"" are among this 19th century composer's most famous lieder",Franz Schubert
PLACE NAME ORIGINS,800,"This Belgian port's name may mean ""against the dike""",Antwerp
TREES,2500,"South American Indians called this tree, Hevea brasiliensis, cahuchu, which means ""weeping wood""",the rubber tree
WOMEN AUTHORS,800,"""Francois le Champi"" is an 1848 novel by this woman who liked to wear men's clothes",George Sand
HISTORY,1000,In 404 B.C. a starving Athens was forced to give up its long fight in this war,the Peloponnesian War
ARCHITECTURE,1000,This uppermost part of a capital has the same name as an ancient calculator,an abacus
COMPOSERS,1000,"Russian ""Eugene Onegin"" composer whose brother Modest wrote the libretto for his last opera, ""Iolanta""",Tchaikovsky
PLACE NAME ORIGINS,1000,This northern sea was named for a British admiral who was famous for a wind scale,Beaufort
TREES,1000,A national park in California is named for this yucca plant that grows there,the Joshua tree
WOMEN AUTHORS,1000,From 1917 to 1919 this poet from Maine was an actress & playwright with the Provincetown Players,Edna St. Vincent Millay
GENERAL SCIENCE,100,"g. Acceleration due to this, varies slightly with latitude since the Earth is not a perfect sphere",Gravity
NURSERY RHYMES,100,He had to show the pieman his money before he could take a taste test,Simple Simon
LIBRARIES,100,The Lincoln Center Library is a branch of this city's library,New York City
ANCIENT EGYPT,100,An essential feature of this embalming process was desiccation by means of dry natron,Mummifying
MONEY PROBLEMS,100,"If the 4 members of the band Moonpools & Caterpillars split a $2,000 royalty evenly, each gets this amount",$500
4-LETTER WORDS,100,A synonym for a small island; Ireland is an emerald one,Isle
GENERAL SCIENCE,200,"Riboflavin deficiency can cause photophobia, abnormal sensitivity to this",Light
NURSERY RHYMES,200,"He didn't kiss & tell, he kissed & ran",Georgie Porgie
LIBRARIES,200,In 1854 this New England capital opened the first major free public library in the U.S.,Boston
ANCIENT EGYPT,200,Ancient Egyptians made this potent potable by soaking bread in water & fermenting the mixture,Beer
MONEY PROBLEMS,200,"John's jar had 300 pennies in it, but he lost 2/3 of them in a pitching contest with Bob, leaving this many",100
4-LETTER WORDS,200,It's a slang term for a potato,Spud
GENERAL SCIENCE,300,This malaria-fighting substance is extracted from the bark of the cinchona tree,Quinine
NURSERY RHYMES,300,"He's been quoted as saying, ""What a good boy am I""",Little Jack Horner
LIBRARIES,300,The library of the university of this largest Scottish city has about 500 printed items from the 15th C.,Glasgow
ANCIENT EGYPT,300,This famous queen was replaced by her daughter as Akhenaten's principal wife,Nefertiti
MONEY PROBLEMS,300,"If I had a nickel for every time I said ""I"" in this answer, I would have this much money",20 cents (4 times)
4-LETTER WORDS,300,This device is used to soften the tone of an instrument such as a trumpet,Mute
GENERAL SCIENCE,400,"This, sound composed of a random mix of frequencies, comes in ""white"" & ""pink"" types",Noise
NURSERY RHYMES,400,"The rhyme says he's responsible for the sheep; you can only infer he's in charge of the cows, too",Little Boy Blue
LIBRARIES,400,Woodruff Library at Atlanta's Emory University houses papers of this Uncle Remus creator,Joel Chandler Harris
ANCIENT EGYPT,400,Hieroglyphics were Greek to scholars until this 1799 discovery supplied Greek equivalents,The Rosetta Stone
MONEY PROBLEMS,400,Change for a quarter in 4 coins,3 nickels & a dime
4-LETTER WORDS,400,"This heaviest fencing sword has a bowl-shaped guard & a long, narrow blade with no cutting edge",Epee
GENERAL SCIENCE,1000,"Titan, a moon of this planet, has a thicker atmosphere than Earth",Saturn
NURSERY RHYMES,500,A cat killed the rat that ate the malt in his house,"""The House That Jack Built"""
LIBRARIES,500,"Herbert Putnam served as head of this U.S. library for 40 years, 1899-1939",Library of Congress
ANCIENT EGYPT,500,The pyramid of Menkaure was the last of the major 3 built at this site southwest of modern Cairo,Giza
MONEY PROBLEMS,500,"If Mary, a dime-a-dance girl, handles 10 partners an hour, she earns this amount in 4 hours",$4.00
4-LETTER WORDS,500,"A noisy outburst, or a steady wind of 32-63 MPH",Gale
EUROPEAN CITIES,200,"Hradcany Castle, former home of the kings of Bohemia, is in this Czech capital",Prague
MUSIC,200,"It means to sing in a soft, intimate style, like Bing Crosby used to do",Croon
WOMEN IN RELIGION,200,This woman who founded the Missionaries of Charity in Calcutta is called the Saint of the Gutters,Mother Teresa
LITERATURE,200,"In this 17th C. novel, Sancho Panza is promised, & eventually gets, the governorship of his own island","""Don Quixote"""
PRESIDENTIAL TRIVIA,200,"Fewer than 120,000 popular votes separated Richard Nixon from this man in 1960",John F. Kennedy
THE MOVIES,200,Annette Bening wins the heart of the chief executive played by Michael Douglas in this 1995 film,"""The American President"""
EUROPEAN CITIES,400,"The Pummerin, Austria's largest bell, is in this city's St. Stephen's Cathedral",Vienna
MUSIC,400,"The name of this deep voice range is also used to describe a violin, a clef & a tuba",Bass
WOMEN IN RELIGION,400,"In ""Retrospection And Introspection"", she told of her experiences with the science of Christian healing",Mary Baker Eddy
LITERATURE,400,This 1895 story set in the future was H.G. Wells' first novel,"""The Time Machine"""
PRESIDENTIAL TRIVIA,400,Clinton is the most recent William to hold the office; this man was the first,William Henry Harrison
THE MOVIES,400,"Jim Carrey has a 2nd go as this kooky detective in ""When Nature Calls""",Ace Ventura
EUROPEAN CITIES,600,Liege is the cultural center of this country's French-speaking area,Belgium
MUSIC,600,"An 1898 opera by Rimsky-Korsakov concerned these ""Amadeus"" adversaries",Mozart & Salieri
WOMEN IN RELIGION,600,In 1987 Patricia Ann McClurg became the first ordained woman to head this Christian group abbreviated NCC,National Council of Churches
LITERATURE,600,"The full title of this 1872 tale ends with ""And what Alice found there""","""Through the Looking-Glass"""
PRESIDENTIAL TRIVIA,600,He served as president during the 73rd-79th Congresses,F.D. Roosevelt
THE MOVIES,600,"The TV comedy ""Police Squad!"" inspired these films with Leslie Nielsen as Lt. Frank Drebin","""The Naked Gun"""
EUROPEAN CITIES,800,The fact this Italian city is home to Fiat isn't shrouded in mystery,Turin
MUSIC,800,"Saint-Saens' ""Carnival Of The Animals"" was composed for 2 of these instruments & ensemble",piano
WOMEN IN RELIGION,800,This colorful evangelist founded the International Church of the Foursquare Gospel,Aimee Semple McPherson
LITERATURE,800,"James Jones' 1962 novel ""The Thin Red Line"" was a sequel to this 1951 work","""From Here to Eternity"""
PRESIDENTIAL TRIVIA,800,In 1947 this future president testified before the House Un-American Activities Committee,Ronald Reagan
THE MOVIES,800,Bette Davis gave a memorable performance as a socialite dying of a brain tumor in this 1939 film,"""Dark Victory"""
EUROPEAN CITIES,1000,The Peace of this city in the Netherlands ended the War of the Spanish Succession,Utrecht
WOMEN IN RELIGION,1000,"Ann Lee established the first U.S. community of this sect in Watervliet, N.Y. in 1776",Shakers
LITERATURE,2500,"Characters in this Dickens novel include Mealy Potatoes, Mr. Creakle & Edward Murdstone","""David Copperfield"""
PRESIDENTIAL TRIVIA,1200,These 3 men served as president between the terms of the only father & son presidents,"Jefferson, Madison & Monroe"
THE MOVIES,1000,Jeremy Irons & Meryl Streep headed the cast of this 1994 film based on a novel by Isabel Allende,"""The House of the Spirits"""
ULTRA SCIENCE,100,Germicidal lamps emit these rays,ultraviolet
PEOPLE,100,Legend says Norma Talmadge began a tradition by accidentally stepping in this at Grauman's Chinese Theater in 1927,cement
BUSINESS & INDUSTRY,100,Eastman Chemical Company was spun off from this photo giant in 1993,Kodak
QUOTATIONS,100,"A toast to this state calls it ""where the corn is full of kernels and the colonels full of corn""",Kentucky
HAIL TO THE CHIEF,100,In 1944 Helen Keller campaigned for this president's fourth term,Franklin Roosevelt
SWEETS,100,This type of taffy was made famous in Atlantic City in the late 19th century,saltwater
ULTRA SCIENCE,200,A 1993 study suggests this type of screening may be unnecessary for low-risk pregnant women,ultrasound
PEOPLE,200,Judy Bayly's dog Lyric saved her by doing this when her oxygen mask slipped off & an alarm sounded,dial 911
BUSINESS & INDUSTRY,200,This fruit accounts for about 60% of Chiquita Brands International's income,the banana
QUOTATIONS,200,"His comments on politics included ""All politics is apple sauce""",Will Rogers
HAIL TO THE CHIEF,200,George Bush served as director of this spy organization in 1976 & 1977,the CIA
SWEETS,200,"These baked puddings go back to Civil War days & ""apple brown"" is the most popular kind",betty
ULTRA SCIENCE,300,The Ultra High Frequency band on your TV starts at this channel,14
PEOPLE,300,"After spending an estimated $30 million, he backed out of the presidential race in March 1996",Steve Forbes
BUSINESS & INDUSTRY,300,This company has been the world's top commercial aircraft maker for more than 30 years,Boeing
QUOTATIONS,300,"According to Joe Hill, 'Work and pray, live on hay, you'll get"" this ""in the sky when you die""",pie
HAIL TO THE CHIEF,300,"The bodies of 8 presidents have lain in state in this room, the largest in the White House",the East Room
SWEETS,300,"This fruit, whose name comes from Greek daktylos, ""finger"", may be 55% sugar before drying",a date
ULTRA SCIENCE,400,It's a one-person plane powered by a small engine,an ultralight
PEOPLE,400,Her kids are Cody Newton & Cassidy Erin,Kathie Lee Gifford
BUSINESS & INDUSTRY,400,This second-largest U.S. long distance company acquired Western Union International in 1982,MCI
QUOTATIONS,400,"In ""O Pioneers!"", she wrote, ""The history of every country begins in the heart of a man or a woman""",Willa Cather
HAIL TO THE CHIEF,400,"Thomas J. Pendergast, boss of Kansas City, launched the political career of this future president in 1922",Truman
SWEETS,400,Attar of these flowers is the traditional flavoring of Turkish delight,roses
ULTRA SCIENCE,500,This blue pigment was once made from crushed lapis lazuli,ultramarine
PEOPLE,500,"On March 26, 1996 this Interior Secretary deliberately opened the flood gates of the Glen Canyon Dam",(Bruce) Babbitt
BUSINESS & INDUSTRY,500,This chain holds 29% of the seafood restaurant market,Red Lobster
QUOTATIONS,500,"Elbert Hubbard defined this as ""a monotonous interval between fights""",peace
HAIL TO THE CHIEF,1000,"This 30th U.S. president is buried in the family plot in Plymouth, Vermont",Coolidge
SWEETS,500,"This gelatinlike substance is used to make jams, jellies & preserves jell",pectin
THE NATIONAL WOMEN'S HALL OF FAME,200,"Belva Ann Lockwood, the 1st woman lawyer to practice before this court, had drafted the law to allow it",the Supreme Court
AMERICAN AUTHORS,200,"This ""Jurassic Park"" author once taught anthropology at Cambridge University",Michael Crichton
ENTERTAINMENT,200,"In 1996 Richard Chamberlain again played Ralph de Bricassart for this TV miniseries' ""Missing Years""",The Thorn Birds
THE 1920s,200,"The League of Nations met for the first time Nov. 15, 1920 in its new headquarters in this Swiss city",Geneva
HOSPITALS,200,"On Feb. 14, 1962 the doors opened to this Memphis hospital founded by Danny Thomas",St. Jude
SUITES,200,"This ""Carmen"" composer wrote the symphonic suite ""Roma"" between 1866 & 1868",Bizet
THE NATIONAL WOMEN'S HALL OF FAME,400,"Smiths in the Hall include Bessie, Margaret Chase & this 2nd first lady, whose maiden name was Smith",Abigail Adams
AMERICAN AUTHORS,400,"His 1986 story ""You're Only Old Once!"" is ""A Book for Obsolete Children""",Dr. Seuss
ENTERTAINMENT,400,This singer & drummer for Genesis recently announced his exodus from the group,Phil Collins
THE 1920s,400,"The results of his inkblot tests were published in ""Psycho-diagnostics""",Rorschach
HOSPITALS,400,"At first only a surgical clinic, this Rochester, Minn. facility became a full medical center around 1915",the Mayo Clinic
SUITES,400,"""Uranus&mdash;The Magician"" is the sixth part of this Gustav Holst suite",The Planets
THE NATIONAL WOMEN'S HALL OF FAME,600,"Now president of the American Red Cross, the 1st woman Secretary of Transportation was inducted in 1995",Elizabeth Dole
AMERICAN AUTHORS,3800,"A collection of his letters, ""From Main Street to Stockholm"", was published posthumously in 1952",Sinclair Lewis
ENTERTAINMENT,600,"Best known for her Oscar-winning role as ""Mrs. Miniver"", she passed away in 1996",Greer Garson
THE 1920s,600,In November 1922 Howard Carter & Lord Carnarvon made this famous discovery,King Tut's tomb
SUITES,2500,"""Liberian Suite"" & ""Far East Suite"" are among this jazz giant's large-scale works",Duke Ellington
THE NATIONAL WOMEN'S HALL OF FAME,800,Membership tripled after Wilma Mankiller became the 1st woman chief of this Native American nation,the Cherokee
